word,pinyin,meaning_en,level,category,cky_mandatory
裝飾,zhuāng shì,to decorate,L2,動作,⭐
褐色,hè sè,brown,L4,顏色,⭐
襤褸,lán lǚ,ragged,L3,外貌,⭐
覺得,jué de,to think that ...,L1,心理,⭐
觀念,guān niàn,notion,L3,人生哲理,⭐
觸摸,chù mō,to touch,L3,動作,⭐
詩歌,shī gē,poem,L2,語文概念,⭐
請問,qǐng wèn,excuse me,L1,動作,⭐
譏笑,jī xiào,to sneer,L3,動作,⭐
譏諷別人,jī fěng bié ren,satirize other people,L3,動作,⭐
譬如,pì rú,for example,L4,語文概念,⭐
貪吃,tān chī,gluttonous,L1,性格,⭐
貪婪,tān lán,avaricious,L3,性格,⭐
貪慕虛榮,tān mù xū róng,have a voracious desire for admire vanity,L3,性格,⭐
責罵,zé mà,to scold,L1,動作,⭐
質疑,zhì yí,to call into question,L3,心理,⭐
走避,zǒu bì,to run away,L1,動作,⭐
跌倒,diē dǎo,to tumble,L1,動作,⭐
跑步,pǎo bù,to run,L1,動作,⭐
跟著,gēn zhe,to follow after,L1,動作,⭐
路燈,lù dēng,street lamp,L1,物品,⭐
跳舞,tiào wǔ,to dance,L1,動作,⭐
踉蹌,liàng qiàng,to stagger,L3,外貌,⭐
踏上,tà shàng,to set foot on,L1,動作,⭐
踏實,tā shi,firmly-based,L3,性格,⭐
踢球,tī qiú,kick ball,L1,動作,⭐
躲避,duǒ bì,to hide,L4,動作,⭐
軀體,qū tǐ,body,L4,外貌,⭐
車票,chē piào,ticket,L2,物品,⭐
載客,zài kè,to take passengers on board,L3,動作,⭐
載歌載舞,zài gē zài wǔ,singing and dancing,L3,活動事件,⭐
輔助,fǔ zhù,to assist,L4,科技知識,⭐
轟動,hōng dòng,to cause a sensation,L3,活動事件,⭐
辦事不力,bàn shì bù lì,handle not do one's best,L3,性格,⭐
辦法,bàn fǎ,means,L1,心理,⭐
辨別,biàn bié,to distinguish,L3,語文概念,⭐
辯解,biàn jiě,to explain,L3,動作,⭐
送給,sòng gěi,to send,L1,動作,⭐
通知,tōng zhī,to notify,L1,動作,⭐
遇見,yù jiàn,to meet,L1,動作,⭐
過程,guò chéng,course of events,L2,活動事件,⭐
選擇,xuǎn zé,to select,L3,心理,⭐
還有,hái yǒu,there still remain,L1,語文概念,⭐
邪惡,xié è,sinister,L3,性格,⭐
都市,dū shì,city,L4,地點景物,⭐
釋放,shì fàng,to release,L3,動作,⭐
鋪設,pū shè,to lay,L4,動作,⭐
錢幣,qián bì,money,L4,物品,⭐
鐵色,tiě sè,iron color,L4,顏色,⭐
閉氣,bì qì,close gas,L4,健康,⭐
開始,kāi shǐ,to begin,L1,動作,⭐
閱讀,yuè dú,to read,L1,動作,⭐
闖禍,chuǎng huò,to cause an accident,L2,動作,⭐
關於,guān yú,pertaining to,L1,語文概念,⭐
關燈,guān dēng,mountain pass lamp,L1,動作,⭐
阻撓,zǔ náo,to thwart,L4,動作,⭐
阻礙,zǔ ài,to obstruct,L2,動作,⭐
陽光,yáng guāng,sunshine,L1,天文氣象,⭐
障礙,zhàng ài,barrier,L3,動作,⭐
隨便,suí biàn,as one wishes,L2,心理,⭐
隱蔽,yǐn bì,to conceal,L4,外貌,⭐
雀鳥,què niǎo,bird,L1,動物,⭐
集合,jí hé,to gather,L1,動作,⭐
雖然,suī rán,although,L1,語文概念,⭐
雙方,shuāng fāng,bilateral,L1,語文概念,⭐
電視,diàn shì,television,L1,物品,⭐
需求,xū qiú,requirement,L3,心理,⭐
需要,xū yào,to need,L1,心理,⭐
竟然,jìng rán,unexpectedly,L4,時間,⭐
頂峰,dǐng fēng,peak,L4,地點景物,⭐
飄揚,piāo yáng,to wave,L2,動作,⭐
飄盪,piāo dàng,to drift,L3,動作,⭐
飄落,piāo luò,to float down,L1,動作,⭐
飼養,sì yǎng,to raise,L2,動作,⭐
飽餐一頓,bǎo cān yī dùn,to eat one's fill,L2,食物,⭐
餐館,cān guǎn,restaurant,L2,地點景物,⭐
饑荒,jī huāng,crop failure,L3,活動事件,⭐
饑餓,jī è,hungry,L2,健康,⭐
首都,shǒu dū,capital,L2,地點景物,⭐
首飾,shǒu shì,jewelry,L2,物品,⭐
馬路,mǎ lù,street,L1,地點景物,⭐
騙案,piàn àn,scam,L3,活動事件,⭐
驅趕,qū gǎn,to drive,L4,動作,⭐
驕傲自滿,jiāo ào zì mǎn,pride complacent,L3,性格,⭐
髒兮兮,zāng xī xī,dirty,L3,外貌,⭐
體驗,tǐ yàn,to experience for oneself,L3,動作,⭐
髮辮,fà biàn,braid,L3,外貌,⭐
鬼鬼祟祟,guǐ guǐ suì suì,sneaky,L2,性格,⭐
鮑魚,bào yú,abalone,L1,食物,⭐
鳥兒,niǎo r,bird,L1,動物,⭐
鴨子,yā zi,duck,L1,動物,⭐
鴿子,gē zi,pigeon,L1,動物,⭐
麵包,miàn bāo,bread,L1,食物,⭐
黑暗,hēi àn,dark,L1,天文氣象,⭐
痊癒,quán yù,to recover completely,L1,健康,⭐
氣餒,qì něi,to be discouraged,L5,心理,
退縮,tuì suō,to shrink back,L5,心理,
遺憾,yí hàn,regret,L5,心理,
依依不捨,yī yī bù shě,reluctant to part,L5,心理,
依戀,yī liàn,to be fondly attached to,L5,心理,
冤枉,yuān wang,to accuse wrongly,L5,心理,
勉強,miǎn qiǎng,to do with difficulty,L5,心理,
回憶,huí yì,to recall,L5,心理,
困苦,kùn kǔ,deprivation,L5,心理,
孤寂,gū jì,lonesome,L5,心理,
安樂,ān lè,peace and happiness,L5,心理,
得意洋洋,dé yì yáng yáng,joyfully satisfied,L5,心理,
微不足道,wēi bù zú dào,negligible,L5,心理,
忘懷,wàng huái,to forget,L5,心理,
悶聲不響,mēn shēng bù xiǎng,to keep silent,L5,心理,
悽涼,qī liáng,mournful,L5,心理,
愁,chóu,to worry about,L5,心理,
感謝,gǎn xiè,thanks,L5,心理,
憧憬,chōng jǐng,to long for,L5,心理,
懷念,huái niàn,to cherish the memory of,L5,心理,
按捺不住,àn nà bu zhù,to be unable to hold back,L5,心理,
挫敗,cuò bài,to thwart,L5,心理,
新里程,xīn lǐ chéng,new mileage,L5,心理,
日夜盼望,rì yè pàn wàng,day and night hope for,L5,心理,
暗淡,àn dàn,dark,L5,心理,
望眼欲穿,wàng yǎn yù chuān,to anxiously await,L5,心理,
望穿秋水,wàng chuān qiū shuǐ,full moon wear limpid autumn waters,L5,心理,
期望,qī wàng,to have expectations,L5,心理,
枯燥,kū zào,dry and dull,L5,心理,
氣壯,qì zhuàng,gas zhuang ethnic group of Guangxi,L5,心理,
無奈,wú nài,to have no alternative,L5,心理,
煩悶,fán mèn,moody,L5,心理,
珍藏,zhēn cáng,a collection of rare and valuable items,L5,心理,
理直,lǐ zhí,texture straight,L5,心理,
留戀,liú liàn,reluctant to leave,L5,心理,
百感交集,bǎi gǎn jiāo jí,all sorts of feelings well up in one's heart,L5,心理,
祝願,zhù yuàn,to wish,L5,心理,
積極面對,jī jí miàn duì,active face,L5,心理,
胸有成竹,xiōng yǒu chéng zhú,to have a well thought out plan in mind,L5,心理,
自討沒趣,zì tǎo méi qù,to invite a snub,L5,心理,
致志,zhì zhì,fine aspiration,L5,心理,
辜負,gū fù,to fail to live up,L5,心理,
迷惘,mí wǎng,perplexed,L5,心理,
鬥志,dòu zhì,will to fight,L5,心理,
不寒而慄,bù hán ér lì,lit. not cold,L5,心理,
不知所措,bù zhī suǒ cuò,not knowing what to do,L5,心理,
人心惶惶,rén xīn huáng huáng,everyone is anxious,L5,心理,
十萬火急,shí wàn huǒ jí,most urgent,L5,心理,
千鈞一髮,qiān jūn yī fà,a thousand pounds hangs by a thread,L5,心理,
大驚失色,dà jīng shī sè,to turn pale with fright,L5,心理,
尷尬,gān gà,awkward,L5,心理,
徬徨,páng huáng,irresolute,L5,心理,
心慌意亂,xīn huāng yì luàn,confused,L5,心理,
恐慌,kǒng huāng,panic,L5,心理,
恐懼,kǒng jù,to be frightened,L5,心理,
懊喪,ào sàng,dejected,L5,心理,
懼怕,jù pà,to be afraid,L5,心理,
手足無措,shǒu zú wú cuò,at a loss to know what to do,L5,心理,
毛骨悚然,máo gǔ sǒng rán,to have one's hair stand on end,L5,心理,
焦躁不安,jiāo zào bù ān,fretful unpeaceful,L5,心理,
疑惑,yí huò,to doubt,L5,心理,
窘態,jiǒng tài,distressed appearance,L5,心理,
膽戰心驚,dǎn zhàn xīn jīng,to tremble with fear,L5,心理,
驚心動魄,jīng xīn dòng pò,heart-stopping,L5,心理,
驚惶,jīng huáng,panic-stricken,L5,心理,
驚異,jīng yì,amazed,L5,心理,
驚詫,jīng chà,to be surprised,L5,心理,
驚醒,jīng xǐng,to rouse,L5,心理,
甘願,gān yuàn,willingly,L5,動作,
逃竄,táo cuàn,to run away,L5,動作,
下筆成章,xià bǐ chéng zhāng,put pen paper form a coherent composition,L5,動作,
交頭接耳,jiāo tóu jiē ěr,to whisper to one another's ear,L5,動作,
兜截,dōu jié,pocket cut off,L5,動作,
分解,fēn jiě,to resolve,L5,動作,
分配,fēn pèi,to distribute,L5,動作,
動若脱兔,dòng rě tuō tù,move seem shed rabbit,L5,動作,
吵鬧,chǎo nào,noisy,L5,動作,
吸納,xī nà,to take in,L5,動作,
呵護,hē hù,to bless,L5,動作,
哽咽,gěng yè,to choke with emotion,L5,動作,
商量,shāng liang,to consult,L5,動作,
喚,huàn,to call,L5,動作,
嚇唬,xià hu,to scare,L5,動作,
囫圇吞棗,hú lún tūn zǎo,to swallow in one gulp,L5,動作,
奔波,bēn bō,to rush about,L5,動作,
容納,róng nà,to hold,L5,動作,
愛護,ài hù,to cherish,L5,動作,
懸,xuán,to hang or suspend,L5,動作,
打量,dǎ liang,to size sb up,L5,動作,
扮演,bàn yǎn,to play the role of,L5,動作,
抗議,kàng yì,to protest,L5,動作,
抵受,dǐ shòu,press against receive,L5,動作,
拆卸,chāi xiè,to dismantle,L5,動作,
指導,zhǐ dǎo,to guide,L5,動作,
捨,shě,to give up,L5,動作,
掃視,sǎo shì,to run one's eyes over,L5,動作,
採用,cǎi yòng,to adopt,L5,動作,
推動,tuī dòng,to push,L5,動作,
搗蛋,dǎo dàn,to cause trouble,L5,動作,
搭建,dā jiàn,to build,L5,動作,
攻擊,gōng jī,to attack,L5,動作,
施詐,shī zhà,put into effect cheat,L5,動作,
旋轉,xuán zhuǎn,to rotate,L5,動作,
熨,yù,reconciled,L5,動作,
牽動,qiān dòng,to affect,L5,動作,
率領,shuài lǐng,to lead,L5,動作,
疼愛,téng ài,to love dearly,L5,動作,
目不轉睛,mù bù zhuǎn jīng,unable to take one's eyes off,L5,動作,
眨眼,zhǎ yǎn,to blink,L5,動作,
磨煉,mó liàn,temper through hardship,L5,動作,
籌劃,chóu huà,to plan and prepare,L5,動作,
翹,qiáo,outstanding,L5,動作,
聯合,lián hé,to combine,L5,動作,
肩負,jiān fù,to shoulder,L5,動作,
航海,háng hǎi,to sail the seas,L5,動作,
處置,chǔ zhì,to handle,L5,動作,
處罰,chǔ fá,to penalize,L5,動作,
衝,chōng,thoroughfare,L5,動作,
補習,bǔ xí,to take extra lessons in a cram school or with a private tutor,L5,動作,
誤解,wù jiě,to misunderstand,L5,動作,
警報,jǐng bào,alarm,L5,動作,
讀劃,dòu huá,comma cut,L5,動作,
輔導,fǔ dǎo,to give guidance,L5,動作,
辯護,biàn hù,to speak in defense of,L5,動作,
進攻,jìn gōng,to attack,L5,動作,
逼近,bī jìn,to press on towards,L5,動作,
道謝,dào xiè,to express thanks,L5,動作,
遞,dì,to hand over,L5,動作,
遮蔽,zhē bì,to cover,L5,動作,
關切,guān qiè,to be deeply concerned,L5,動作,
關心,guān xīn,to be concerned about,L5,動作,
關懷,guān huái,care,L5,動作,
阻塞,zǔ sè,to block,L5,動作,
革命,gé mìng,to withdraw the mandate of heaven,L5,動作,
鼓舞,gǔ wǔ,to inspire,L5,動作,
惶恐,huáng kǒng,terrified,L5,動作,
強硬,qiáng yìng,tough,L5,動作,
誠懇,chéng kěn,sincere,L5,動作,
趾高氣揚,zhǐ gāo qì yáng,high and mighty,L5,動作,
不忿,bù fèn,unsatisfied,L5,動作,
不滿,bù mǎn,resentful,L5,動作,
冷冷,lěng lěng,coldly,L5,動作,
冷淡,lěng dàn,cold,L5,動作,
含羞答答,hán xiū dā dā,keep in the mouth bashful,L5,動作,
堅決,jiān jué,firm,L5,動作,
平靜,píng jìng,tranquil,L5,動作,
得意,dé yì,proud of oneself,L5,動作,
怔,zhēng,startled,L5,動作,
急匆匆,jí cōng cōng,hurried,L5,動作,
感歎,gǎn tàn,feel,L5,動作,
氣吁吁,qì xū xū,to pant,L5,動作,
氣急敗壞,qì jí bài huài,flustered and exasperated,L5,動作,
沒精打采,méi jīng dǎ cǎi,listless,L5,動作,
洋洋得意,yáng yáng dé yì,immensely pleased with oneself,L5,動作,
溫和,wēn hé,mild,L5,動作,
猶豫不決,yóu yù bù jué,hesitancy,L5,動作,
神色自若,shén sè zì ruò,expression calm,L5,動作,
若無其事,ruò wú qí shì,as if nothing had happened,L5,動作,
詫異,chà yì,flabbergasted,L5,動作,
面不改色,miàn bù gǎi sè,not bat an eyelid,L5,動作,
花枝招展,huā zhī zhāo zhǎn,lit. lovely scene of blossoming plants swaying in the breeze,L5,外貌,
俗氣,sú qì,tacky,L5,外貌,
入時,rù shí,fashionable,L5,外貌,
合身,hé shēn,well-fitting,L5,外貌,
唇紅齒白,chún gōng chǐ bái,lip red tooth white,L5,外貌,
奇裝異服,qí zhuāng yì fú,bizarre dress,L5,外貌,
整潔,zhěng jié,neatly,L5,外貌,
珠光寶氣,zhū guāng bǎo qì,bedecked with glittering jewels,L5,外貌,
筆挺,bǐ tǐng,very straight,L5,外貌,
華麗,huá lì,gorgeous,L5,外貌,
衣着,yī zhuó,clothes,L5,外貌,
衣衫襤褸,yī shān lán lǚ,clothing ragged,L5,外貌,
雍容華貴,yōng róng huá guì,natural sumptuous,L5,外貌,
愁眉深鎖,chóu méi shēn suǒ,worry about eyebrow locked up,L5,外貌,
杏兒眼,xìng ér yǎn,apricot child eye,L5,外貌,
深邃,shēn suì,deep,L5,外貌,
獅子鼻,shī zi bí,leo nose,L5,外貌,
目光銳利,mù guāng ruì lì,gaze sharp,L5,外貌,
眼簾,yǎn lián,eyes,L5,外貌,
高鼻梁,gāo bí liáng,high bridge of the nose,L5,外貌,
鷹鼻,yīng bí,eagle nose,L5,外貌,
食水,shí shuǐ,drinking water,L5,環境保護,
一日千里,yī rì qiān lǐ,lit. one day,L5,科技知識,
依據,yī jù,according to,L5,科技知識,
呈現,chéng xiàn,to appear,L5,科技知識,
實驗,shí yàn,experiment,L5,科技知識,
幅射,fú shè,radiation,L5,科技知識,
抽絲剝繭,chōu sī bō jiǎn,lit. to unwind the silk thread from the cocoon,L5,科技知識,
探尋,tàn xún,to search,L5,科技知識,
探求,tàn qiú,to seek,L5,科技知識,
改造,gǎi zào,to transform,L5,科技知識,
溶解,róng jiě,to dissolve,L5,科技知識,
熒幕,yíng mù,tV screen,L5,科技知識,
猛進,měng jìn,to advance boldly,L5,科技知識,
發揚,fā yáng,to develop,L5,科技知識,
相輔相成,xiāng fǔ xiāng chéng,to complement one another,L5,科技知識,
神通廣大,shén tōng guǎng dà,to possess great magical power,L5,科技知識,
突飛,tū fēi,dash fly,L5,科技知識,
落伍,luò wǔ,to fall behind the ranks,L5,科技知識,
計劃,jì huà,plan,L5,科技知識,
輸入,shū rù,to import,L5,科技知識,
鍵盤,jiàn pán,keyboard,L5,科技知識,
電纜,diàn lǎn,cable,L5,科技知識,
面世,miàn shì,to be published,L5,科技知識,
預報,yù bào,forecast,L5,科技知識,
預示,yù shì,to indicate,L5,科技知識,
上當,shàng dàng,taken in,L5,人生哲理,
妒忌,dù jì,to be jealous of,L5,人生哲理,
忠言逆耳,zhōng yán nì ěr,loyal advice jars on the ears,L5,人生哲理,
欺負,qī fu,to bully,L5,人生哲理,
荒唐,huāng táng,beyond belief,L5,人生哲理,
荒廢,huāng fèi,to abandon,L5,人生哲理,
虛度人生,xū dù rén shēng,fritter away life,L5,人生哲理,
逆水行舟,nì shuǐ xíng zhōu,lit. navigating a boat against the current,L5,人生哲理,
過分,guò fèn,excessive,L5,人生哲理,
一心一意,yī xīn yī yì,concentrating one's thoughts and efforts,L5,人生哲理,
一笑置之,yī xiào zhì zhī,to dismiss with a laugh,L5,人生哲理,
不插話,bù chā huà,no interrupt,L5,人生哲理,
井然,jǐng rán,tidy,L5,人生哲理,
付出,fù chū,to pay,L5,人生哲理,
信念,xìn niàn,faith,L5,人生哲理,
修心養性,xiū xīn yǎng xìng,to cultivate the heart and nurture the character,L5,人生哲理,
充分,chōng fèn,ample,L5,人生哲理,
努力,nǔ lì,to make an effort,L5,人生哲理,
和睦,hé mù,peaceful relations,L5,人生哲理,
團結一致,tuán jié yí zhì,united as one,L5,人生哲理,
坦白,tǎn bái,honest,L5,人生哲理,
坦誠,tǎn chéng,candid,L5,人生哲理,
學習,xué xí,to learn,L5,人生哲理,
守時,shǒu shí,punctual,L5,人生哲理,
守秩序,shǒu zhì xù,guard order,L5,人生哲理,
審時度勢,shěn shí duó shì,to judge the hour and size up the situation,L5,人生哲理,
履行,lǚ xíng,to fulfill,L5,人生哲理,
工作,gōng zuò,to work,L5,人生哲理,
忍受,rěn shòu,to bear,L5,人生哲理,
恆心,héng xīn,perseverance,L5,人生哲理,
惜時,xī shí,cherish o'clock,L5,人生哲理,
意志,yì zhì,will,L5,人生哲理,
拋開,pāo kāi,to throw out,L5,人生哲理,
持之以恆,chí zhī yǐ héng,to pursue unremittingly,L5,人生哲理,
接受,jiē shòu,to accept,L5,人生哲理,
旁觀者清,páng guān zhě qīng,an outsider can see things more clearly or objectively than those involved,L5,人生哲理,
檢點,jiǎn diǎn,to examine,L5,人生哲理,
深思熟慮,shēn sī shú lǜ,mature reflection,L5,人生哲理,
清理,qīng lǐ,to clear up,L5,人生哲理,
準時,zhǔn shí,on time,L5,人生哲理,
熱愛,rè ài,to love ardently,L5,人生哲理,
理想,lǐ xiǎng,an ideal,L5,人生哲理,
發言,fā yán,to make a speech,L5,人生哲理,
百折不回,bǎi zhé bù huí,never give up despite setbacks,L5,人生哲理,
積累,jī lěi,to accumulate,L5,人生哲理,
竭盡全力,jié jìn quán lì,to spare no effort,L5,人生哲理,
經驗,jīng yàn,experience,L5,人生哲理,
腳踏實地,jiǎo tà shí dì,to have one's feet firmly planted on the ground,L5,人生哲理,
自制,zì zhì,to maintain self-control,L5,人生哲理,
艱苦,jiān kǔ,difficult,L5,人生哲理,
要學會的道理,yāo xué huì de dào li,demand learn of reason,L5,人生哲理,
謙厚,qiān hòu,modest thick,L5,人生哲理,
講究,jiǎng jiu,to pay particular attention to,L5,人生哲理,
謹慎,jǐn shèn,cautious,L5,人生哲理,
變通,biàn tōng,pragmatic,L5,人生哲理,
輪流,lún liú,to alternate,L5,人生哲理,
量入為出,liàng rù wéi chū,to assess one's income and spend accordingly,L5,人生哲理,
隨心所欲,suí xīn suǒ yù,to follow one's heart's desires,L5,人生哲理,
默,mò,silent,L5,人生哲理,
丘壑,qiū hè,hills and valleys,L5,地點景物,
丘陵,qiū líng,hills,L5,地點景物,
乘風破浪,chéng fēng pò làng,to brave the wind and the billows,L5,地點景物,
五花八門,wǔ huā bā mén,myriad,L5,地點景物,
人山人海,rén shān rén hǎi,multitude,L5,地點景物,
價廉物美,jià lián wù měi,inexpensive and of good quality,L5,地點景物,
兼容並包,jiān róng bìng bāo,to include and monopolize many things,L5,地點景物,
包容,bāo róng,to pardon,L5,地點景物,
古舊,gǔ jiù,archaic,L5,地點景物,
古跡,gǔ jì,ancient footprint,L5,地點景物,
同舟共濟,tóng zhōu gòng jì,cross a river in the same boat,L5,地點景物,
和諧,hé xié,harmonious,L5,地點景物,
喧鬧,xuān nào,to make a noise,L5,地點景物,
嘩嘩,huā huā,sound of gurgling water,L5,地點景物,
壯觀,zhuàng guān,spectacular,L5,地點景物,
多不勝數,duō bù shèng shǔ,many cannot bear or stand count,L5,地點景物,
多變,duō biàn,fickle,L5,地點景物,
大眾化,dà zhòng huà,mass-oriented,L5,地點景物,
奔騰,bēn téng,pentium,L5,地點景物,
富裕,fù yù,prosperous,L5,地點景物,
展陳,zhǎn chén,to exhibit,L5,地點景物,
山,shān,mountain,L5,地點景物,
山丘,shān qiū,hill,L5,地點景物,
山坡,shān pō,hillside,L5,地點景物,
山崖,shān yá,cliff,L5,地點景物,
山脈,shān mài,mountain range,L5,地點景物,
山脊,shān jǐ,mountain ridge,L5,地點景物,
山谷,shān gǔ,valley,L5,地點景物,
山路崎嶇,shān lù qí qū,mountain road rugged,L5,地點景物,
峰巒,fēng luán,peaks and ridges,L5,地點景物,
峰巒起伏,fēng luán qǐ fú,peaks and ridges move up and down,L5,地點景物,
峻峭,jùn qiào,high and steep,L5,地點景物,
峻拔,jùn bá,high pull up,L5,地點景物,
崇山峻嶺,chóng shān jùn lǐng,towering mountains and precipitous ridges,L5,地點景物,
崩裂,bēng liè,to rupture,L5,地點景物,
嵯峨,cuó é,lofty,L5,地點景物,
巍峨,wēi é,lofty,L5,地點景物,
平民化,píng mín huā,ordinary people make into,L5,地點景物,
形態萬千,xíng tài wàn qiān,shape myriad,L5,地點景物,
成千上萬,chéng qiān shàng wàn,lit. by the thousands and tens of thousands,L5,地點景物,
拔地而起,bá dì ér qǐ,rise steeply from level ground and rise,L5,地點景物,
摩肩接踵,mó jiān jiē zhǒng,lit. rubbing shoulders and following in each other's footsteps,L5,地點景物,
斜坡,xié pō,slope,L5,地點景物,
構造,gòu zào,structure,L5,地點景物,
殘舊,cán jiù,destroy old,L5,地點景物,
水,shuǐ,water,L5,地點景物,
水平如鏡,shuǐ píng rú jìng,level as mirror,L5,地點景物,
水泄不通,shuǐ xiè bù tōng,lit. not one drop can trickle through,L5,地點景物,
洶湧,xiōng yǒng,to surge up violently,L5,地點景物,
淙淙,cóng cóng,noise of water,L5,地點景物,
滔滔,tāo tāo,torrential,L5,地點景物,
滾滾,gǔn gǔn,nickname for a panda,L5,地點景物,
澎湃,péng pài,surging,L5,地點景物,
煩囂,fán xiāo,feel vexed clamor,L5,地點景物,
環繞,huán rào,to surround,L5,地點景物,
矗立,chù lì,to tower,L5,地點景物,
破舊,pò jiù,shabby,L5,地點景物,
碧波萬頃,bì bō wàn qǐng,green jade poland large landholding,L5,地點景物,
萬人空巷,wàn rén kōng xiàng,the multitudes come out from everywhere,L5,地點景物,
結構,jié gòu,structure,L5,地點景物,
綿延,mián yán,to be continuous,L5,地點景物,
繁忙,fán máng,busy,L5,地點景物,
群山環抱,qún shān huán bào,mountains encircle,L5,地點景物,
聳立,sǒng lì,to stand tall,L5,地點景物,
艱辛,jiān xīn,hardships,L5,地點景物,
荒山野嶺,huāng shān yě lǐng,wild,L5,地點景物,
落後,luò hòu,to fall behind,L5,地點景物,
蘊藏,yùn cáng,to hold in store,L5,地點景物,
蜿蜒,wān yán,to wriggle along,L5,地點景物,
融合,róng hé,a mixture,L5,地點景物,
覆蓋,fù gài,to cover,L5,地點景物,
豎立,shù lì,to erect,L5,地點景物,
起伏,qǐ fú,to move up and down,L5,地點景物,
車水馬龍,chē shuǐ mǎ lóng,endless stream of horse and carriages,L5,地點景物,
險峰,xiǎn fēng,perilous peak,L5,地點景物,
靜寂,jìng jì,quiet,L5,地點景物,
鬧市,nào shì,downtown area,L5,地點景物,
侵蝕,qīn shí,to erode,L5,天文氣象,
亮滾滾,liàng gǔn gǔn,bright nickname for a panda,L5,天文氣象,
佈滿,bù mǎn,announce manchu ethnic group,L5,天文氣象,
冰雹,bīng báo,hail,L5,天文氣象,
冷雨,lěng yǔ,cold rain,L5,天文氣象,
劃破長空,huá pò cháng kōng,cut open the vast sky,L5,天文氣象,
北極光,běi jí guāng,northern lights,L5,天文氣象,
厄爾尼諾現象,è ěr ní nuò xiàn xiàng,el Niño effect,L5,天文氣象,
厚密飄浮,hòu mì piāo fú,thick name of an ancient state float,L5,天文氣象,
叮咚,dīng dōng,ding dong,L5,天文氣象,
叮噹,dīng dāng,ding dong,L5,天文氣象,
咚隆,dōng lōng,boom sound of drums,L5,天文氣象,
嘩啦,huā lā,sound of a crash,L5,天文氣象,
噼啪,pī pā,crackling sound,L5,天文氣象,
地震,dì zhèn,earthquake,L5,天文氣象,
垂瀉而下,chuí xiè ér xià,hang flow out swiftly and down,L5,天文氣象,
姿態萬千,zī tài wàn qiān,attitude myriad,L5,天文氣象,
密霧濃雲,mì wù nóng yún,name of an ancient state fog concentrated cloud,L5,天文氣象,
彩雲,cǎi yún,rosy clouds,L5,天文氣象,
彩霞滿天,cǎi xiá mǎn tiān,clouds tinged with sunset hues whole sky,L5,天文氣象,
急雨,jí yǔ,urgent rain,L5,天文氣象,
悶雷,mèn léi,muffled thunder,L5,天文氣象,
或聚或散,huò jù huò sàn,maybe assemble scattered,L5,天文氣象,
拉尼娜現象,Lā Ní nà xiàn xiàng,phenomenon,L5,天文氣象,
斜斜,xié xié,inclined,L5,天文氣象,
旱雷,hàn léi,drought thunder,L5,天文氣象,
朝霞似錦,cháo xiá shì jǐn,imperial or royal court rose-tinted sky or clouds at sunrise or sunset seem brocade,L5,天文氣象,
水淋淋,shuǐ lín lín,dripping wet,L5,天文氣象,
沙啦,shā lā,granule sound of singing,L5,天文氣象,
泛濫,fàn làn,to be in flood,L5,天文氣象,
洪水,hóng shuǐ,deluge,L5,天文氣象,
流星雨,liú xīng yǔ,meteor shower,L5,天文氣象,
浮雲,fú yún,floating clouds,L5,天文氣象,
海嘯,hǎi xiào,tsunami,L5,天文氣象,
消散,xiāo sàn,to dissipate,L5,天文氣象,
淅沙,xī shā,sound of rain granule,L5,天文氣象,
淅瀝,xī lì,patter of rain,L5,天文氣象,
滂沱大雨,pāng tuó dà yǔ,torrents of rain,L5,天文氣象,
潮汐,cháo xī,tide,L5,天文氣象,
瀰漫,mí màn,fill the air,L5,天文氣象,
火燒雲,huǒ shāo yún,nuée ardente,L5,天文氣象,
煙霧,yān wù,smoke,L5,天文氣象,
煙霧迷茫,yān wù mí máng,smoke vast and indistinct,L5,天文氣象,
牛毛細雨,niú máo xì yǔ,ox hair fine rain,L5,天文氣象,
瞬息萬變,shùn xī wàn biàn,in an instant a myriad changes,L5,天文氣象,
萬里無雲,wàn lǐ wú yún,cloudless,L5,天文氣象,
細雨,xì yǔ,fine rain,L5,天文氣象,
結合,jié hé,to combine,L5,天文氣象,
絲絲縷縷,sī sī lǚ lǚ,silk silk thread strand,L5,天文氣象,
繚繞,liáo rào,to curl upward,L5,天文氣象,
茫茫,máng máng,boundless,L5,天文氣象,
薄雲,báo yún,thin cloud,L5,天文氣象,
變化無常,biàn huà wú cháng,changeable,L5,天文氣象,
變幻,biàn huàn,to change irregularly,L5,天文氣象,
轟隆,hōng lōng,rumbling,L5,天文氣象,
迅雷,xùn léi,thunderbolt,L5,天文氣象,
降雪,jiàng xuě,to snow,L5,天文氣象,
陣雨,zhèn yǔ,shower,L5,天文氣象,
陰森,yīn sēn,gloomy,L5,天文氣象,
隆隆,lóng lóng,rumble,L5,天文氣象,
雨紛紛,yǔ fēn fēn,rain one after another,L5,天文氣象,
雲散天開,yún sàn tiān kāi,cloud scattered day open,L5,天文氣象,
雲淡天高,yún dàn tiān gāo,cloud insipid day high,L5,天文氣象,
雲輕如棉,yún qīng rú mián,cloud light as generic term for cotton or kapok,L5,天文氣象,
雲霞,yún xiá,cloud rose-tinted sky or clouds at sunrise or sunset,L5,天文氣象,
雲霧,yún wù,clouds and mist,L5,天文氣象,
雷大雨小,léi dà yǔ xiǎo,lit. much thunder but little rain,L5,天文氣象,
